2025-12-07 08:55:18 - User Role: manager, Warehouse ID: 3
2025-12-07 16:07:33 - User Role: manager, Warehouse ID: 10
2025-12-07 16:10:52 - User Role: manager, Warehouse ID: 3
2025-12-07 16:11:02 - User Role: manager, Warehouse ID: 3
2025-12-07 16:11:22 - User Role: manager, Warehouse ID: 3
2025-12-07 16:28:31 - User Role: manager, Warehouse ID: 10
2025-12-07 16:38:15 - User Role: manager, Warehouse ID: 3
2025-12-07 16:40:37 - User Role: manager, Warehouse ID: 10
2025-12-07 16:41:46 - User Role: manager, Warehouse ID: 10
2025-12-07 16:48:46 - User Role: manager, Warehouse ID: 10
2025-12-07 16:48:50 - User Role: manager, Warehouse ID: 10
2025-12-07 16:50:09 - User Role: manager, Warehouse ID: 10
2025-12-07 16:58:09 - User Role: manager, Warehouse ID: 10
2025-12-08 11:46:05 - User Role: manager, Warehouse ID: 3
2025-12-08 12:10:43 - User Role: manager, Warehouse ID: 3
2025-12-08 12:37:17 - User Role: manager, Warehouse ID: 3
2025-12-08 12:39:47 - User Role: manager, Warehouse ID: 3
